trans_id,account_id,trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
398096,1354,1954,0,2,4620.0,16412.2,2,13,35735094
3662264,4010,2190,0,0,259.6,68977.4,7,0,0
657885,2247,1378,2,4,6900.0,38671.9,1,0,0
3573860,1315,1215,0,0,128.0,30383.7,7,0,0
3673393,5891,1672,0,0,348.2,91655.7,7,0,0
563923,1919,1038,2,1,4545.0,50645.6,5,3,92220371
3680145,7099,2159,0,0,75.9,16300.7,7,0,0
479244,1633,2145,2,4,960.0,18923.4,1,0,0
3492786,7819,1215,0,0,64.5,15170.1,7,0,0
3494369,7965,637,0,0,141.7,76862.7,7,0,0
424758,1442,1848,2,4,960.0,24923.3,1,0,0
1094514,3743,1891,2,1,5478.0,39794.0,5,4,70616876
3577907,1444,1550,0,0,110.5,26318.5,7,0,0
811105,2763,727,1,4,4625.0,59116.2,1,0,0
409301,1394,1837,0,2,6341.0,47749.9,2,13,51111900
691022,2361,1715,2,1,4352.0,19975.4,8,13,17524379
637272,2176,247,2,1,1085.0,43922.2,5,6,62845337
648656,2217,1571,2,4,1000.0,17200.0,1,0,0
782026,2666,831,0,2,2901.0,23150.9,1,5,69472062
869795,2962,587,2,4,2800.0,93938.6,1,0,0
1147977,3926,798,2,4,700.0,30083.2,1,0,0
3476000,8564,1246,0,0,160.9,33689.5,7,0,0
835870,2844,1289,2,4,1560.0,73817.5,1,0,0
2908209,9633,1927,2,1,2476.8,28398.3,8,10,67566084
194065,657,820,2,4,1920.0,25176.0,1,0,0
130161,437,861,0,3,21652.0,71217.6,1,0,0
1001708,3419,1683,2,1,532.0,35890.4,0,9,88912635
160748,539,1471,2,4,5700.0,44306.8,1,0,0
1355334,4626,1914,0,3,8434.0,49979.4,1,0,0
1095486,3745,1802,2,1,11469.0,83696.5,5,10,65273123
3564547,1030,2159,0,0,194.5,43056.7,7,0,0
374469,1275,1803,2,1,1903.0,27275.2,5,5,30025339
1340925,4580,1888,1,4,10031.0,56565.7,1,0,0
2762526,9140,2087,2,4,300.0,19316.0,1,0,0
2464844,8129,405,2,4,1700.0,31776.2,1,0,0
371063,1263,2076,0,3,29037.0,95129.9,1,0,0
275810,944,1889,2,1,5361.0,28781.0,5,5,46210002
1206674,4128,1945,2,4,14.6,17395.5,6,0,0
136821,458,2061,2,4,600.0,50065.3,1,0,0
207066,702,1013,2,4,1300.0,15693.0,1,0,0
3659176,3899,1641,0,0,238.3,50743.6,7,0,0
839785,2859,902,2,4,10800.0,1637.3,1,0,0
2005184,6792,1773,2,1,3520.0,36786.7,5,4,65384101
2776145,9188,1794,2,4,14.6,31861.4,6,0,0
3539184,263,1976,0,0,113.5,29309.0,7,0,0
597918,2035,1499,2,1,121.0,55344.9,3,3,38668644
969839,3305,1792,2,4,8700.0,13720.1,1,0,0
137303,460,728,2,4,650.0,21712.1,1,0,0
903372,3078,2016,2,1,2232.0,13523.5,1,6,30277490
