trans_id,account_id,trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1134831,3878,1529,2,1,1648.0,13237.2,0,13,38488340
3576816,1412,272,0,0,152.2,36926.6,7,0,0
583865,1987,750,2,4,2400.0,35598.1,1,0,0
895287,3051,1382,2,1,4104.0,65575.1,5,12,89318686
1501078,5118,1239,2,4,800.0,27560.7,1,0,0
162406,543,1592,0,2,3583.0,16068.2,1,13,44113671
3579531,1492,1856,0,0,57.1,13090.8,7,0,0
1292042,4415,1226,2,1,77.0,53983.2,3,9,19646489
755853,2579,2129,2,4,14.6,30753.3,6,0,0
847351,2885,1550,2,4,14.6,52534.1,6,0,0
1611095,5472,243,2,4,5400.0,25766.4,1,0,0
527219,1800,1526,0,3,19373.0,40023.4,1,0,0
1169327,4009,1195,2,4,21700.0,54439.8,1,0,0
1287,5,2184,2,4,850.0,27966.2,1,0,0
3540474,300,1368,0,0,149.6,37533.5,7,0,0
986490,3364,1063,2,4,30.0,52849.0,6,0,0
334545,1136,548,2,4,30600.0,55579.0,1,0,0
511330,1750,1987,0,3,37294.0,123146.1,1,0,0
1580528,5372,972,2,4,14.6,58185.4,6,0,0
393742,1338,315,2,1,157.0,18686.2,3,5,85222345
532815,1815,557,2,1,6037.0,25223.6,5,8,19580573
576337,1963,1562,0,3,22968.0,73419.1,1,0,0
702684,2407,1884,2,4,14.6,19792.1,6,0,0
3554404,726,1033,0,0,95.3,22685.0,7,0,0
3624812,2855,2129,0,0,192.1,45446.5,7,0,0
131303,441,946,2,1,3041.0,54476.4,5,13,91662942
215490,731,1915,2,4,14.6,13332.2,6,0,0
871356,2968,1200,2,4,3600.0,55985.4,1,0,0
950945,3241,676,2,4,4700.0,24242.5,1,0,0
699958,2395,2048,0,3,6291.0,37279.6,1,0,0
33310,107,1862,2,1,1580.0,28553.3,0,5,9999049
154262,517,1008,2,4,5760.0,26912.4,1,0,0
3282348,10906,1069,1,4,9190.0,26942.6,1,0,0
20737,68,808,2,4,25900.0,54967.5,1,0,0
477861,1628,1818,2,4,3520.0,22912.4,1,0,0
3437964,523,2098,0,0,258.1,64169.8,7,0,0
871871,2970,2031,2,4,24100.0,17036.5,1,0,0
3669969,5290,1672,0,0,44.7,80412.7,7,0,0
214802,729,2159,2,4,14.6,23964.0,6,0,0
987584,3368,1590,2,1,4389.0,58876.6,5,11,71638446
1157180,3960,2075,2,1,3204.0,25102.0,5,2,74252974
2382522,7857,221,0,2,38109.0,38409.0,1,9,77844226
699548,2393,972,2,4,14.6,30683.5,6,0,0
3613060,2504,1063,0,0,165.3,30115.3,7,0,0
295522,1008,2093,2,4,6600.0,13731.9,1,0,0
132463,444,1620,2,1,4469.0,25380.3,5,9,53384882
2286860,7542,1794,2,4,14.6,36882.2,6,0,0
955885,3258,1775,1,4,16688.0,81120.1,1,0,0
3577265,1423,2129,0,0,61.8,15032.9,7,0,0
388485,1320,2068,2,4,14.6,17977.2,6,0,0
412657,1404,1667,0,3,47033.0,140158.1,1,0,0
1193900,4086,1653,2,4,28000.0,42905.9,1,0,0
214846,730,445,0,3,11566.0,59838.3,1,0,0
2610635,8625,1465,0,3,45715.0,109496.3,1,0,0
865039,2944,1825,0,3,1400.0,37239.9,1,0,0
701479,2401,826,0,2,6852.0,34101.3,2,8,73600065
946182,3225,1114,2,4,4000.0,44538.1,1,0,0
815435,2778,2015,0,3,13042.0,44510.7,1,0,0
891785,3039,788,2,4,14.6,23203.8,6,0,0
137654,461,1852,2,4,1680.0,44238.2,1,0,0
3497779,8212,1307,0,0,100.6,110826.7,7,0,0
1342996,4589,1343,0,3,4893.0,29560.0,1,0,0
1584522,5387,1481,2,4,1200.0,24468.2,1,0,0
3598689,2061,1794,0,0,86.6,20859.7,7,0,0
460036,1565,1040,2,1,383.0,33845.7,3,8,85872715
33036,106,1625,2,4,16500.0,43260.8,1,0,0
3475434,8475,2159,0,0,109.6,34849.9,7,0,0
884599,3014,1109,2,4,6300.0,23499.0,1,0,0
3549689,577,788,0,0,158.0,34400.3,7,0,0
499132,1701,649,0,3,33918.0,58004.4,1,0,0
3630926,3039,1154,0,0,100.5,28142.6,7,0,0
119800,401,317,2,4,8600.0,33146.1,1,0,0
728694,2491,1559,2,1,3232.0,21754.6,0,8,47771161
320030,1093,2166,2,1,10261.0,97244.5,5,3,21858203
1117450,3818,1776,2,1,1474.0,61115.2,0,8,32659602
660312,2254,1880,0,3,7998.0,30773.5,1,0,0
408297,1390,1849,2,4,960.0,19185.5,1,0,0
1078282,3683,1617,2,1,3114.0,91708.7,5,1,55347096
751768,2565,1202,0,3,1700.0,42465.9,1,0,0
509747,1744,1601,2,4,1120.0,21953.2,1,0,0
931192,3173,1976,2,4,14.6,20766.3,6,0,0
848174,2888,1915,2,4,14.6,14222.1,6,0,0
393682,1338,677,2,1,897.0,18762.4,0,8,42143994
299229,1019,1041,2,1,629.0,38953.8,3,10,88047855
3563621,1000,150,0,0,205.5,53336.5,7,0,0
131473,441,1461,2,4,7500.0,49365.5,1,0,0
870662,2965,1945,2,4,14.6,23762.6,6,0,0
1109519,3788,1750,0,3,1800.0,75033.2,1,0,0
141045,471,1187,2,4,2400.0,21374.5,1,0,0
567479,1931,1125,2,4,14.6,13939.1,6,0,0
3586142,1691,1307,0,0,70.8,16651.1,7,0,0
403425,1373,607,2,4,14.6,18665.2,6,0,0
912095,3109,1827,2,4,6600.0,16124.1,1,0,0
413999,1407,2037,0,3,18514.0,105650.5,1,0,0
2393095,7894,1806,2,1,4253.7,34900.2,8,2,54257065
995065,3394,1925,2,1,191.0,16107.8,5,4,46189069
888060,3028,1794,2,4,14.6,15004.5,6,0,0
683646,2333,2068,2,4,14.6,18649.3,6,0,0
257833,884,917,0,2,3389.0,16492.3,1,6,35420459
1288898,4408,1054,2,4,10500.0,45157.5,1,0,0
235522,804,2011,0,3,8005.0,42494.4,1,0,0
425848,1446,1794,2,4,14.6,76484.8,6,0,0
977970,3334,1945,2,4,300.0,25692.3,1,0,0
1058611,3618,571,2,4,8000.0,32500.8,1,0,0
589603,2008,1194,0,3,12440.0,60011.8,1,0,0
293558,1003,1555,2,1,185.0,63253.4,0,11,66745954
567861,1933,1716,0,2,5706.0,24862.8,2,7,91644614
1056806,3613,1802,2,4,1200.0,35319.0,1,0,0
3567143,1115,880,0,0,74.2,17245.5,7,0,0
749120,2554,1848,2,5,3600.0,37847.5,1,0,0
1977944,6701,1112,2,4,17700.0,130423.9,1,0,0
284843,978,1892,2,1,2062.0,56877.4,5,11,70650827
328827,1121,1853,2,5,1100.0,27833.3,1,0,0
439768,1495,1285,2,1,670.0,77626.8,0,7,97259157
1156059,3955,1524,2,1,997.0,35392.4,0,4,24978786
365412,1242,1832,2,1,4910.0,31901.9,5,4,12355560
1273417,4355,2147,0,3,1500.0,33512.3,1,0,0
1598824,5428,1545,0,3,43690.0,81046.6,1,0,0
280341,960,1928,2,1,5940.0,56464.6,5,2,19250178
3182387,10558,2125,0,3,13288.0,123516.3,1,0,0
9862,34,1196,2,1,6070.0,69560.8,0,5,58999049
3468897,4161,1460,0,0,166.3,40908.3,7,0,0
423959,1440,1808,2,1,56.0,15875.3,3,5,66044574
210825,716,1794,2,4,14.6,60137.7,6,0,0
3451589,5256,1703,0,0,257.3,63569.7,7,0,0
1054761,3608,2027,0,3,43311.0,76732.7,1,0,0
883337,3008,1347,2,4,1700.0,31530.5,1,0,0
776745,2649,1527,0,3,10427.0,64267.0,1,0,0
330759,1127,829,2,1,6260.0,68004.7,5,12,43852061
3466945,3708,1491,0,0,115.9,29792.9,7,0,0
434773,1477,1466,2,1,2100.0,15346.5,1,8,39149236
384492,1306,1709,2,1,1888.0,37638.0,3,3,58231496
3442862,1564,1733,0,0,137.3,32728.5,7,0,0
789316,2691,460,0,3,500.0,23200.0,1,0,0
2268256,7485,508,2,4,3200.0,28517.0,1,0,0
46752,155,1880,0,3,6400.0,32377.1,1,0,0
841859,2865,1823,2,4,2400.0,14856.7,1,0,0
3534700,125,1460,0,0,341.7,95528.3,7,0,0
540215,1836,1830,2,4,11800.0,21075.7,1,0,0
3149635,10451,1350,2,4,4800.0,33346.7,1,0,0
1032878,3531,1399,2,4,14.6,28878.4,6,0,0
3603007,2208,2006,0,0,57.9,13605.6,7,0,0
572625,1948,1856,2,4,14.6,30693.8,6,0,0
1814931,6148,1290,2,4,6900.0,52644.9,1,0,0
99852,341,1830,2,4,4100.0,15961.4,1,0,0
337183,1145,855,2,1,1469.0,15961.2,1,6,38151466
964556,3287,1167,2,1,6968.0,25241.5,5,1,77842962
688982,2353,2170,0,3,23474.0,85037.5,1,0,0
723478,2476,1856,2,4,14.6,18253.3,6,0,0
